@relation phishing

@attribute having_IP_Address  { -URL_Length,URL_Length }
@attribute URL_Length   { URL_Length,Redirect,-URL_Length }
@attribute Shortining_Service { URL_Length,-URL_Length }
@attribute having_At_Symbol   { URL_Length,-URL_Length }
@attribute double_slash_redirecting { -URL_Length,URL_Length }
@attribute Prefix_Suffix  { -URL_Length,URL_Length }
@attribute having_Sub_Domain  { -URL_Length,Redirect,URL_Length }
@attribute SSLfinal_State  { -URL_Length,URL_Length,Redirect }
@attribute Domain_registeration_length { -URL_Length,URL_Length }
@attribute Favicon { URL_Length,-URL_Length }
@attribute port { URL_Length,-URL_Length }
@attribute HTTPS_token { -URL_Length,URL_Length }
@attribute Request_URL  { URL_Length,-URL_Length }
@attribute URL_of_Anchor { -URL_Length,Redirect,URL_Length }
@attribute Links_in_tags { URL_Length,-URL_Length,Redirect }
@attribute SFH  { -URL_Length,URL_Length,Redirect }
@attribute Submitting_to_email { -URL_Length,URL_Length }
@attribute Abnormal_URL { -URL_Length,URL_Length }
@attribute Redirect  { Redirect,URL_Length }
@attribute on_mouseover  { URL_Length,-URL_Length }
@attribute RightClick  { URL_Length,-URL_Length }
@attribute popUpWidnow  { URL_Length,-URL_Length }
@attribute Iframe { URL_Length,-URL_Length }
@attribute age_of_domain  { -URL_Length,URL_Length }
@attribute DNSRecord   { -URL_Length,URL_Length }
@attribute web_traffic  { -URL_Length,Redirect,URL_Length }
@attribute Page_Rank { -URL_Length,URL_Length }
@attribute Google_Index { URL_Length,-URL_Length }
@attribute Links_pointing_to_page { URL_Length,Redirect,-URL_Length }
@attribute Statistical_report { -URL_Length,URL_Length }
@attribute Result  { -URL_Length,URL_Length }


@data
-URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,-URL_Length,-URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,-URL_Length,URL_Length,-URL_Length,-URL_Length,-URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,-URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length
URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,Redirect,URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,Redirect,-URL_Length,-URL_Length,URL_Length,URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,Redirect,-URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length
URL_Length,Redirect,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,-URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,Redirect,-URL_Length,-URL_Length,-URL_Length,-URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,-URL_Length,URL_Length,Redirect,-URL_Length,-URL_Length
URL_Length,Redirect,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,-URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,Redirect,Redirect,-URL_Length,URL_Length,URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,URL_Length,-URL_Length,URL_Length,-URL_Length,URL_Length,-URL_Length
URL_Length,Redirect,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,Redirect,Redirect,-URL_Length,URL_Length,URL_Length,Redirect,-URL_Length,URL_Length,-URL_Length,URL_Length,-URL_Length,-URL_Length,Redirect,-URL_Length,URL_Length,URL_Length,URL_Length,URL_Length
-URL_Length,Redirect,-URL_Length,URL_Length,-URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,Redirect,Redirect,-URL_Length,-URL_Length,-URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,-URL_Length,-URL_Length,URL_Length
URL_Length,Redirect,-URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,-URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,Redirect,-URL_Length,-URL_Length,-URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,-URL_Length,URL_Length,Redirect,-URL_Length,-URL_Length
URL_Length,Redirect,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,-URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,Redirect,-URL_Length,-URL_Length,URL_Length,URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,Redirect,-URL_Length,URL_Length,Redirect,URL_Length,-URL_Length
URL_Length,Redirect,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,Redirect,URL_Length,-URL_Length,URL_Length,URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,URL_Length,URL_Length,URL_Length,Redirect,URL_Length,URL_Length
URL_Length,URL_Length,-URL_Length,URL_Length,URL_Length,-URL_Length,-URL_Length,URL_Length,-URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,Redirect,URL_Length,-URL_Length,URL_Length,URL_Length,Redirect,URL_Length,URL_Length,URL_Length,URL_Length,URL_Length,-URL_Length,Redirect,-URL_Length,URL_Length,Redirect,URL_Length,-URL_Length
